order_id,customer_id,order_date,order_status,payment_method,sales_channel,shipping_cost,discount_amount,total_amount
ORD-000001,CUST-00001,2023-11-24 23:01:00,Completed,Apple Pay,Web,0.0,34.5,1475.46
ORD-000002,CUST-00001,2023-11-25 16:06:00,Completed,Credit Card,Mobile App,0.0,12.0,107.97
ORD-000003,CUST-00001,2024-02-21 20:03:00,Completed,PayPal,Mobile App,0.0,18.2,353.78
ORD-000004,CUST-00001,2024-03-14 16:46:00,Completed,Credit Card,Mobile App,0.0,7.5,1070.45
ORD-000005,CUST-00001,2024-05-27 19:39:00,Completed,Credit Card,Mobile App,0.0,22.5,427.49
ORD-000006,CUST-00001,2024-06-24 12:41:00,Completed,BNPL (Klarna/Affirm),Web,0.0,0.0,129.99
ORD-000007,CUST-00001,2024-09-20 17:13:00,Completed,Credit Card,Mobile App,14.99,0.0,914.98
ORD-000008,CUST-00001,2024-11-24 05:53:00,Completed,Apple Pay,Affiliate,0.0,36.4,409.58
ORD-000009,CUST-00001,2024-12-19 11:34:00,Completed,Credit Card,Web,0.0,0.0,79.99
ORD-000010,CUST-00001,2024-12-29 17:46:00,Completed,Apple Pay,Mobile App,0.0,3.5,101.48
ORD-000011,CUST-00001,2025-01-28 20:49:00,Completed,Apple Pay,Mobile App,14.99,0.0,62.99
ORD-000012,CUST-00001,2025-03-04 01:17:00,Completed,Credit Card,Web,0.0,1.9,86.09
ORD-000013,CUST-00001,2025-03-07 00:02:00,Shipped,Credit Card,Web,0.0,0.0,947.99
ORD-000014,CUST-00001,2025-04-19 02:04:00,Completed,Credit Card,Web,14.99,27.5,537.48
ORD-000015,CUST-00001,2025-05-16 09:01:00,Completed,Credit Card,Mobile App,4.99,0.0,1804.97
ORD-000016,CUST-00001,2025-05-31 05:58:00,Completed,Apple Pay,Affiliate,9.99,67.5,432.47
ORD-000017,CUST-00001,2025-08-20 04:38:00,Completed,Credit Card,Web,0.0,55.0,494.99
ORD-000018,CUST-00001,2025-08-27 11:49:00,Completed,Apple Pay,Mobile App,0.0,6.5,261.48
ORD-000019,CUST-00001,2025-11-18 10:26:00,Completed,BNPL (Klarna/Affirm),Web,0.0,0.0,899.99
ORD-000020,CUST-00001,2025-11-29 02:49:00,Completed,Apple Pay,Mobile App,9.99,1.9,27.08
ORD-000021,CUST-00001,2026-01-02 22:14:00,Completed,Apple Pay,Mobile App,0.0,405.0,2390.96
ORD-000022,CUST-00001,2026-01-12 04:52:00,Completed,Apple Pay,Affiliate,0.0,2.0,63.99
ORD-000023,CUST-00001,2026-07-04 01:10:00,Completed,PayPal,Mobile App,9.99,0.0,254.95
ORD-000024,CUST-00001,2026-08-07 12:50:00,Shipped,Credit Card,Web,0.0,0.0,899.99
ORD-000025,CUST-00002,2025-06-27 19:17:00,Completed,Credit Card,Web,4.99,18.0,106.98
ORD-000026,CUST-00002,2025-07-06 22:59:00,Completed,PayPal,Web,9.99,8.4,344.56
ORD-000027,CUST-00002,2025-07-08 20:17:00,Completed,Apple Pay,Mobile App,14.99,16.0,158.97
ORD-000028,CUST-00002,2025-07-13 22:45:00,Completed,PayPal,Web,0.0,10.5,59.49
ORD-000029,CUST-00002,2025-07-20 18:52:00,Completed,Credit Card,Mobile App,0.0,24.0,135.99
ORD-000030,CUST-00002,2025-08-13 01:23:00,Completed,Apple Pay,Web,0.0,0.0,34.99
ORD-000031,CUST-00002,2025-10-28 08:40:00,Completed,Credit Card,Web,4.99,330.0,2034.95
ORD-000032,CUST-00002,2025-10-28 16:58:00,Cancelled,Credit Card,Web,0.0,0.0,58.0
ORD-000033,CUST-00002,2026-02-08 15:11:00,Completed,Apple Pay,Web,9.99,0.0,197.97
ORD-000034,CUST-00002,2026-02-17 19:40:00,Completed,BNPL (Klarna/Affirm),Mobile App,14.99,8.7,94.27
ORD-000035,CUST-00002,2026-02-18 23:55:00,Completed,BNPL (Klarna/Affirm),Affiliate,9.99,2.75,62.23
ORD-000036,CUST-00002,2026-05-15 15:25:00,Completed,Credit Card,Affiliate,4.99,4.0,80.98
ORD-000037,CUST-00002,2026-05-18 17:51:00,Completed,Credit Card,Mobile App,14.99,45.0,869.98
ORD-000038,CUST-00003,2023-10-05 14:51:00,Completed,Credit Card,Web,0.0,0.0,135.0
ORD-000039,CUST-00003,2023-10-19 05:32:00,Completed,Apple Pay,Web,4.99,90.0,984.97
ORD-000040,CUST-00003,2024-03-14 05:58:00,Completed,Credit Card,Mobile App,9.99,0.0,578.97
ORD-000041,CUST-00003,2024-06-02 04:42:00,Completed,PayPal,Mobile App,14.99,55.7,581.27
ORD-000042,CUST-00003,2024-07-27 09:56:00,Completed,Credit Card,Mobile App,0.0,45.0,854.99
ORD-000043,CUST-00003,2024-12-13 16:06:00,Shipped,Credit Card,Web,0.0,0.0,135.0
ORD-000044,CUST-00003,2025-02-23 18:25:00,Completed,Credit Card,Mobile App,0.0,0.0,52.0
ORD-000045,CUST-00003,2025-04-27 01:59:00,Completed,Apple Pay,Web,0.0,86.5,543.48
ORD-000046,CUST-00003,2025-05-16 04:51:00,Completed,Credit Card,Web,0.0,5.4,50.59
ORD-000047,CUST-00003,2025-07-04 01:05:00,Completed,Credit Card,Mobile App,0.0,30.5,339.47
ORD-000048,CUST-00003,2025-07-30 14:25:00,Completed,BNPL (Klarna/Affirm),Mobile App,0.0,5.5,104.49
ORD-000049,CUST-00003,2025-08-24 09:10:00,Completed,Credit Card,Web,0.0,4.4,123.58
ORD-000050,CUST-00003,2025-09-24 19:21:00,Completed,Apple Pay,Mobile App,0.0,25.5,184.48
ORD-000051,CUST-00003,2025-12-31 13:49:00,Completed,Credit Card,Mobile App,0.0,0.0,48.0
ORD-000052,CUST-00003,2026-01-28 23:25:00,Completed,PayPal,Web,0.0,0.0,89.99
ORD-000053,CUST-00003,2026-03-13 18:36:00,Completed,Credit Card,Mobile App,0.0,12.0,67.99
ORD-000054,CUST-00003,2026-04-04 17:11:00,Completed,BNPL (Klarna/Affirm),Mobile App,0.0,3.0,16.99
ORD-000055,CUST-00003,2026-04-17 07:16:00,Completed,Credit Card,Mobile App,0.0,4.5,185.48
ORD-000056,CUST-00003,2026-05-06 21:25:00,Completed,Credit Card,Mobile App,4.99,0.0,354.98
ORD-000057,CUST-00003,2026-07-30 06:36:00,Completed,Apple Pay,Web,9.99,0.0,41.99
ORD-000058,CUST-00004,2026-01-25 22:20:00,Completed,Apple Pay,Web,0.0,0.0,179.98
ORD-000059,CUST-00004,2026-02-14 07:14:00,Completed,Apple Pay,Web,0.0,0.0,29.99
ORD-000060,CUST-00004,2026-03-05 21:24:00,Completed,Credit Card,Web,14.99,22.5,142.48
ORD-000061,CUST-00004,2026-03-08 21:18:00,Cancelled,BNPL (Klarna/Affirm),Mobile App,0.0,0.0,32.0
ORD-000062,CUST-00004,2026-03-15 00:50:00,Completed,PayPal,Affiliate,0.0,22.5,427.49
ORD-000063,CUST-00004,2026-03-15 17:44:00,Completed,Apple Pay,Web,4.99,0.0,904.98
ORD-000064,CUST-00004,2026-03-18 02:39:00,Completed,Credit Card,Web,0.0,21.0,188.98
ORD-000065,CUST-00004,2026-03-27 12:02:00,Completed,Credit Card,Affiliate,0.0,0.0,599.99
ORD-000066,CUST-00004,2026-03-31 00:26:00,Completed,Apple Pay,Web,4.99,0.0,102.97
ORD-000067,CUST-00004,2026-04-01 08:29:00,Completed,Credit Card,Web,0.0,0.0,175.99
ORD-000068,CUST-00004,2026-04-04 23:45:00,Completed,Apple Pay,Web,9.99,11.4,374.54
ORD-000069,CUST-00004,2026-04-08 09:48:00,Completed,BNPL (Klarna/Affirm),Mobile App,4.99,13.5,81.47
ORD-000070,CUST-00004,2026-04-15 17:24:00,Returned,Credit Card,Mobile App,0.0,17.4,548.59
ORD-000071,CUST-00004,2026-04-18 10:20:00,Completed,BNPL (Klarna/Affirm),Mobile App,0.0,56.0,503.98
ORD-000072,CUST-00004,2026-04-19 02:13:00,Completed,Credit Card,Web,0.0,0.0,499.99
ORD-000073,CUST-00004,2026-04-19 14:09:00,Completed,Credit Card,Mobile App,9.99,4.85,64.12
ORD-000074,CUST-00004,2026-05-07 21:08:00,Completed,BNPL (Klarna/Affirm),Mobile App,0.0,50.0,729.97
ORD-000075,CUST-00004,2026-05-08 20:38:00,Completed,PayPal,Mobile App,4.99,22.35,266.64
ORD-000076,CUST-00004,2026-05-19 23:31:00,Completed,BNPL (Klarna/Affirm),Mobile App,9.99,0.0,664.97
ORD-000077,CUST-00004,2026-05-22 17:00:00,Completed,BNPL (Klarna/Affirm),Affiliate,0.0,15.0,334.97
ORD-000078,CUST-00004,2026-06-23 20:20:00,Completed,Apple Pay,Mobile App,14.99,0.0,163.99
ORD-000079,CUST-00004,2026-06-24 12:58:00,Completed,PayPal,Web,0.0,5.25,29.74
ORD-000080,CUST-00004,2026-06-25 14:37:00,Completed,Apple Pay,Mobile App,0.0,186.9,1659.06
ORD-000081,CUST-00004,2026-07-01 15:35:00,Completed,Credit Card,Mobile App,9.99,11.5,113.49
ORD-000082,CUST-00004,2026-07-09 18:05:00,Completed,BNPL (Klarna/Affirm),Web,4.99,0.0,254.98
ORD-000083,CUST-00004,2026-07-31 16:23:00,Completed,Credit Card,Web,0.0,0.0,289.96
ORD-000084,CUST-00005,2023-12-31 18:27:00,Completed,BNPL (Klarna/Affirm),Affiliate,4.99,6.5,128.48
ORD-000085,CUST-00005,2024-07-10 15:07:00,Completed,PayPal,Affiliate,0.0,3.8,34.2
ORD-000086,CUST-00005,2024-07-11 03:34:00,Completed,PayPal,Affiliate,0.0,13.9,245.07
ORD-000087,CUST-00005,2024-08-11 07:37:00,Completed,Credit Card,Web,0.0,6.75,128.25
ORD-000088,CUST-00005,2024-10-27 01:13:00,Completed,BNPL (Klarna/Affirm),Web,0.0,6.8,61.2
ORD-000089,CUST-00005,2025-03-18 02:30:00,Completed,BNPL (Klarna/Affirm),Mobile App,0.0,0.0,42.0
ORD-000090,CUST-00005,2025-04-10 03:34:00,Completed,Apple Pay,Web,14.99,34.1,374.88
ORD-000091,CUST-00005,2025-05-03 09:36:00,Completed,PayPal,Web,9.99,45.75,549.22
ORD-000092,CUST-00005,2025-08-16 06:38:00,Completed,Apple Pay,Mobile App,0.0,15.0,514.95
ORD-000093,CUST-00005,2026-02-08 18:30:00,Completed,PayPal,Mobile App,4.99,3.0,31.98
ORD-000094,CUST-00005,2026-03-09 20:04:00,Completed,Credit Card,Affiliate,0.0,337.5,2132.48
ORD-000095,CUST-00005,2026-05-21 03:46:00,Completed,Apple Pay,Mobile App,0.0,0.0,2269.95
ORD-000096,CUST-00005,2026-06-11 01:20:00,Completed,Apple Pay,Web,14.99,4.0,90.98
ORD-000097,CUST-00005,2026-06-16 14:49:00,Completed,BNPL (Klarna/Affirm),Affiliate,9.99,9.6,122.39
ORD-000098,CUST-00005,2026-07-03 04:33:00,Completed,PayPal,Mobile App,9.99,0.0,154.97
ORD-000099,CUST-00005,2026-07-18 02:57:00,Completed,PayPal,Mobile App,4.99,1.9,41.09
ORD-000100,CUST-00006,2024-01-07 18:27:00,Completed,PayPal,Mobile App,0.0,45.5,266.49
ORD-000101,CUST-00006,2024-01-12 12:36:00,Completed,Credit Card,Web,4.99,55.0,499.98
ORD-000102,CUST-00006,2024-01-23 16:55:00,Cancelled,Credit Card,Web,0.0,0.0,212.99
ORD-000103,CUST-00006,2024-02-28 23:04:00,Completed,Apple Pay,Web,9.99,0.0,55.97
