category_id,category_name,department,sales_quarter,total_orders,total_units_sold,quarterly_revenue,quarterly_gross_profit,prev_quarter_revenue,qoq_revenue_growth_pct,trajectory_status
CAT-001,Smartphones & Mobile,Electronics,2022-Q3,4,4,672.96,375.06,,0.0,Flat / Baseline
CAT-001,Smartphones & Mobile,Electronics,2022-Q4,15,19,6460.81,3295.81,672.96,860.06,Strong Expansion
CAT-001,Smartphones & Mobile,Electronics,2023-Q1,21,26,11596.74,5926.44,6460.81,79.49,Strong Expansion
CAT-001,Smartphones & Mobile,Electronics,2023-Q2,21,31,10070.69,5346.49,11596.74,-13.16,Moderate Decline (Watchlist)
CAT-001,Smartphones & Mobile,Electronics,2023-Q3,30,37,14424.63,7689.33,10070.69,43.23,Strong Expansion
CAT-001,Smartphones & Mobile,Electronics,2023-Q4,33,42,18773.58,9432.58,14424.63,30.15,Strong Expansion
CAT-001,Smartphones & Mobile,Electronics,2024-Q1,52,68,28946.32,14626.72,18773.58,54.19,Strong Expansion
CAT-001,Smartphones & Mobile,Electronics,2024-Q2,71,89,28048.11,14668.91,28946.32,-3.1,Moderate Decline (Watchlist)
CAT-001,Smartphones & Mobile,Electronics,2024-Q3,84,101,40847.99,21338.19,28048.11,45.64,Strong Expansion
CAT-001,Smartphones & Mobile,Electronics,2024-Q4,118,143,57559.57,29512.37,40847.99,40.91,Strong Expansion
CAT-001,Smartphones & Mobile,Electronics,2025-Q1,184,229,89061.71,46077.91,57559.57,54.73,Strong Expansion
CAT-001,Smartphones & Mobile,Electronics,2025-Q2,95,131,49475.69,25535.09,89061.71,-44.45,Critical Decline (Immediate Action Required)
CAT-001,Smartphones & Mobile,Electronics,2025-Q3,115,145,51980.55,27336.85,49475.69,5.06,Healthy Growth
CAT-001,Smartphones & Mobile,Electronics,2025-Q4,146,184,68800.16,35518.66,51980.55,32.36,Strong Expansion
CAT-001,Smartphones & Mobile,Electronics,2026-Q1,182,226,88600.74,45572.94,68800.16,28.78,Strong Expansion
CAT-001,Smartphones & Mobile,Electronics,2026-Q2,291,387,154933.13,79719.53,88600.74,74.87,Strong Expansion
CAT-001,Smartphones & Mobile,Electronics,2026-Q3,205,260,99553.4,51899.9,154933.13,-35.74,Critical Decline (Immediate Action Required)
