sales_month,sales_year,month_number,total_orders,active_customers,total_units_sold,monthly_revenue,monthly_gross_profit,monthly_aov,prev_month_revenue,mom_revenue_growth_pct,rolling_3mo_avg_revenue,cumulative_running_revenue
2022-06,2022,06,1,1,3,1799.97,913.97,1799.97,,0.0,1799.97,1799.97
2022-07,2022,07,5,5,9,1775.62,975.14,355.12,1799.97,-1.35,1787.8,3575.59
2022-08,2022,08,6,6,14,1323.78,814.79,220.63,1775.62,-25.45,1633.12,4899.37
2022-09,2022,09,8,8,18,1955.1,1201.75,244.39,1323.78,47.69,1684.83,6854.47
2022-10,2022,10,24,22,55,14624.49,7798.91,609.35,1955.1,648.02,5967.79,21478.96
2022-11,2022,11,33,30,69,11339.61,6340.95,343.62,14624.49,-22.46,9306.4,32818.57
2022-12,2022,12,36,33,67,11471.75,6540.4,318.66,11339.61,1.17,12478.62,44290.32
2023-01,2023,01,31,27,73,11540.48,6697.08,372.27,11471.75,0.6,11450.61,55830.8
2023-02,2023,02,39,37,80,14380.84,8291.42,368.74,11540.48,24.61,12464.36,70211.64
2023-03,2023,03,51,43,100,18603.5,10233.98,364.77,14380.84,29.36,14841.61,88815.14
2023-04,2023,04,55,49,103,19992.51,11082.69,363.5,18603.5,7.47,17658.95,108807.65
2023-05,2023,05,73,68,149,26664.15,14764.0,365.26,19992.51,33.37,21753.39,135471.8
2023-06,2023,06,53,49,112,27113.96,14750.51,511.58,26664.15,1.69,24590.21,162585.76
2023-07,2023,07,64,60,132,25152.6,14454.92,393.01,27113.96,-7.23,26310.24,187738.36
2023-08,2023,08,81,67,162,28063.36,16029.77,346.46,25152.6,11.57,26776.64,215801.72
2023-09,2023,09,89,76,194,30830.04,17373.43,346.4,28063.36,9.86,28015.33,246631.76
2023-10,2023,10,89,81,168,35271.23,19742.08,396.31,30830.04,14.41,31388.21,281902.99
2023-11,2023,11,84,70,174,25101.61,14413.81,298.83,35271.23,-28.83,30400.96,307004.6
2023-12,2023,12,112,95,236,35028.69,20280.88,312.76,25101.61,39.55,31800.51,342033.29
2024-01,2024,01,117,105,253,48032.29,26977.13,410.53,35028.69,37.12,36054.2,390065.58
2024-02,2024,02,131,124,300,50400.69,28244.13,384.74,48032.29,4.93,44487.22,440466.27
2024-03,2024,03,148,131,292,48874.26,27963.02,330.23,50400.69,-3.03,49102.41,489340.53
2024-04,2024,04,161,142,340,65243.39,36207.58,405.24,48874.26,33.49,54839.45,554583.92
2024-05,2024,05,169,142,349,69919.61,38959.89,413.73,65243.39,7.17,61345.75,624503.53
2024-06,2024,06,200,167,439,69274.22,40468.07,346.37,69919.61,-0.92,68145.74,693777.75
2024-07,2024,07,199,168,400,74424.34,42096.88,373.99,69274.22,7.43,71206.06,768202.09
2024-08,2024,08,221,188,446,85550.61,46708.84,387.11,74424.34,14.95,76416.39,853752.7
2024-09,2024,09,204,175,399,75947.86,41390.37,372.29,85550.61,-11.22,78640.94,929700.56
2024-10,2024,10,280,219,536,93599.03,52667.58,334.28,75947.86,23.24,85032.5,1023299.59
2024-11,2024,11,272,228,587,103843.86,59036.3,381.78,93599.03,10.95,91130.25,1127143.45
2024-12,2024,12,301,234,592,95495.03,54471.24,317.26,103843.86,-8.04,97645.97,1222638.48
2025-01,2025,01,331,257,669,128551.45,71883.84,388.37,95495.03,34.62,109296.78,1351189.93
2025-02,2025,02,309,243,628,121395.46,67544.67,392.87,128551.45,-5.57,115147.31,1472585.39
2025-03,2025,03,494,316,1007,188501.94,105948.68,381.58,121395.46,55.28,146149.62,1661087.33
2025-04,2025,04,184,158,387,85930.34,46434.88,467.01,188501.94,-54.41,131942.58,1747017.67
2025-05,2025,05,179,157,370,67846.44,38452.81,379.03,85930.34,-21.04,114092.91,1814864.11
2025-06,2025,06,202,165,395,67984.55,37987.95,336.56,67846.44,0.2,73920.44,1882848.66
2025-07,2025,07,232,196,486,89975.93,50319.51,387.83,67984.55,32.35,75268.97,1972824.59
2025-08,2025,08,230,195,477,97657.77,53814.94,424.6,89975.93,8.54,85206.08,2070482.36
2025-09,2025,09,245,209,492,103644.49,57655.88,423.04,97657.77,6.13,97092.73,2174126.85
2025-10,2025,10,290,242,612,133212.83,72693.3,459.35,103644.49,28.53,111505.03,2307339.68
2025-11,2025,11,283,240,576,129389.71,71261.89,457.21,133212.83,-2.87,122082.34,2436729.39
2025-12,2025,12,324,271,681,116871.23,67065.59,360.71,129389.71,-9.68,126491.26,2553600.62
2026-01,2026,01,391,309,806,153512.57,85806.3,392.62,116871.23,31.35,133257.84,2707113.19
2026-02,2026,02,356,287,683,117255.95,66689.28,329.37,153512.57,-23.62,129213.25,2824369.14
2026-03,2026,03,404,315,805,171833.33,94190.3,425.33,117255.95,46.55,147533.95,2996202.47
2026-04,2026,04,453,332,906,157039.42,88731.95,346.67,171833.33,-8.61,148709.57,3153241.89
2026-05,2026,05,604,418,1301,271854.92,150733.28,450.09,157039.42,73.11,200242.56,3425096.81
2026-06,2026,06,577,384,1177,246049.64,135700.86,426.43,271854.92,-9.49,224981.33,3671146.45
2026-07,2026,07,592,419,1163,211438.35,118550.01,357.16,246049.64,-14.07,243114.3,3882584.8
2026-08,2026,08,644,415,1291,242240.88,137063.17,376.15,211438.35,14.57,233242.96,4124825.68
